$Element Number
43512
$Element_id  Value
137  2.05126780201680958271e-05  -1.99388050532434135675e-05
138  1.57056238094810396433e-05  -4.75781416753306984901e-06
139  1.69276172528043389320e-05  -5.09125311509706079960e-06
140  1.16800154501106590033e-04  -1.93080868484685197473e-05
141  -1.08413900306914001703e-04  1.71527964994311332703e-04
142  -1.02142639661906287074e-05  1.89924721780698746443e-05
143  -3.43914598488481715322e-06  9.98188625089824199677e-06
144  0.00000000000000000000e+00  1.74770457306294701993e-06
145  0.00000000000000000000e+00  0.00000000000000000000e+00
146  7.34186187401064671576e-07  8.31384568300563842058e-06
147  2.25554163080232683569e-06  9.21371338336030021310e-06
148  3.34438846039120107889e-06  3.67766260751523077488e-05
149  2.89084534088601685653e-10  8.13296173873823136091e-06
150  6.02059890297823585570e-06  1.54444423969835042953e-05
151  2.14252340811071917415e-05  1.57751001097494736314e-05
152  3.19314640364609658718e-05  1.65672754519619047642e-05
153  4.15625472669489681721e-05  4.33993736805859953165e-05
154  2.21654172491980716586e-05  4.28706953243818134069e-05
155  2.19252124225022271276e-05  4.17634546465706080198e-05
156  6.07652800681535154581e-05  3.42853425536304712296e-04
157  -7.07566287019290030003e-05  5.36365769221447408199e-05
158  -8.53298024594550952315e-06  4.69866836283472366631e-06
159  0.00000000000000000000e+00  2.75688762485515326262e-06
160  -9.38787625415216098190e-09  9.81492576102027669549e-07
161  0.00000000000000000000e+00  0.00000000000000000000e+00
162  6.57202826914726756513e-06  -5.00853684570756740868e-06
163  1.83985957846743986011e-05  -8.61912030813982710242e-06
164  1.12061161416932009161e-05  -1.71356229206054422320e-09
165  7.16309114068280905485e-06  -4.17697289516877345861e-13
166  1.64230532391229644418e-05  -1.19576384349784348160e-06
167  9.31102986214682459831e-05  1.77447378518991172314e-04
168  -1.72369236679514870048e-05  1.76052799361059442163e-05
169  -8.07142077974276617169e-06  1.11981207737699151039e-05
170  -4.89435649342340184376e-07  6.43815201328834518790e-06
171  0.00000000000000000000e+00  0.00000000000000000000e+00
172  0.00000000000000000000e+00  0.00000000000000000000e+00
173  2.93132347906066570431e-06  4.27337135988636873662e-06
174  4.97600012749899178743e-06  1.21251659948029555380e-05
175  1.56164139752945629880e-06  1.87300756806507706642e-05
176  2.23295455725747160614e-06  7.51462284824810922146e-05
177  6.85423329964233996048e-14  6.57148393656825646758e-06
178  6.29036276222905144095e-06  1.77098409039899706841e-05
179  1.96630389837082475424e-05  2.35597399296239018440e-05
180  2.54737533396109938622e-05  2.89843937935074791312e-05
181  3.24003813148010522127e-05  5.99496161157730966806e-05
182  1.08165168057894334197e-05  3.24966604239307343960e-05
183  2.33542104979278519750e-05  3.25713568599894642830e-04
184  -9.33114133658818900585e-05  1.45487458212301135063e-04
185  -1.19518277642782777548e-04  3.02430398733122274280e-05
186  -8.49903335620183497667e-06  4.25366397394100204110e-06
