longitude,latitude,YR,MO,X,Y,TOT,CR
-73.92235759,40.702322402193936,2015,5,1005778,195161,1,FELONY ASSAULT
-73.92068583,40.70696266133616,2015,5,1006240,196852,2,FELONY ASSAULT
-73.9179438,40.698849954317694,2015,5,1007003,193897,1,GRAND LARCENY
-73.90865794,40.68525085550718,2015,5,1009583,188945,1,GRAND LARCENY
-73.91771957,40.70520941895623,2015,5,1007063,196214,1,GRAND LARCENY OF MOTOR VEHICLE
-73.92714536,40.69733280046303,2015,5,1004452,193342,1,ROBBERY
-73.98856893,40.69194809820081,2015,5,987420,191372,1,GRAND LARCENY
-73.98955877,40.70353110957476,2015,5,987145,195592,2,GRAND LARCENY
-73.99143905,40.693998689785445,2015,5,986624,192119,1,GRAND LARCENY
-73.98663019,40.70342925035327,2015,5,987957,195555,1,GRAND LARCENY
-73.98855472,40.69071569534062,2015,5,987424,190923,2,GRAND LARCENY
-73.97516451,40.69423786810196,2015,5,991137,192207,1,FELONY ASSAULT
-73.96382274,40.68844065313883,2015,5,994283,190096,1,GRAND LARCENY
-73.96865272,40.69233140907249,2015,5,992943,191513,1,GRAND LARCENY
-73.97162931,40.69702574,2015,5,992117,193223,1,GRAND LARCENY
-73.97290579,40.68851725895146,2015,5,991764,190123,1,GRAND LARCENY
-73.94512134,40.70350477687764,2015,5,999466,195587,1,BURGLARY
-73.95818481,40.71466223763203,2015,5,995842,199650,1,BURGLARY
-73.94352513,40.70169245922845,2015,5,999909,194927,1,BURGLARY
-73.94892022,40.70678651954898,2015,5,998412,196782,1,BURGLARY
-73.93602702,40.713076563617705,2015,5,1001985,199076,1,BURGLARY
-73.94607275,40.70441923345108,2015,5,999202,195920,1,FELONY ASSAULT
-73.94175244,40.70383798277193,2015,5,1000400,195709,1,GRAND LARCENY
-73.95452357,40.70920975137532,2015,5,996858,197664,1,GRAND LARCENY
-73.94232389,40.70199104308673,2015,5,1000242,195036,1,ROBBERY
-73.94785507,40.70363231,2015,5,998708,195633,1,ROBBERY
-73.94322644,40.71786994782275,2015,5,999988,200821,1,BURGLARY
-73.95431056,40.73055291704368,2015,5,996913,205440,1,FELONY ASSAULT
-73.95691181,40.73642769419767,2015,5,996191,207580,1,FELONY ASSAULT
-73.95189936,40.73690878624616,2015,5,997580,207756,1,FELONY ASSAULT
-73.95613264,40.71412624545141,2015,5,996411,199455,1,GRAND LARCENY
-73.95206822,40.73292621869179,2015,5,997534,206305,1,GRAND LARCENY
-73.95548211,40.715975964833575,2015,5,996591,200129,1,GRAND LARCENY
-73.95883716,40.72724993779045,2015,5,995659,204236,1,GRAND LARCENY
-73.95592011,40.73003753037728,2015,5,996467,205252,1,GRAND LARCENY
-73.9496528,40.71581985648852,2015,5,998207,200073,1,GRAND LARCENY
-73.95658339,40.719893158249626,2015,5,996285,201556,1,ROBBERY
-73.84111083,40.57878651142776,2015,5,1028387,150184,1,BURGLARY
-73.8105584,40.58765533170741,2015,5,1036867,153432,1,FELONY ASSAULT
-73.80096458,40.59570061081228,2015,5,1039525,156369,1,FELONY ASSAULT
-73.81600974,40.58622316653288,2015,5,1035354,152907,2,GRAND LARCENY
-73.80196634,40.59666851300676,2015,5,1039246,156721,1,GRAND LARCENY
-73.81345077,40.58720717087402,2015,5,1036064,153267,1,ROBBERY
-73.79525541,40.59395586312012,2015,5,1041112,155737,1,ROBBERY
-73.78828302,40.59211518700858,2015,5,1043050,155071,1,BURGLARY
-73.74281368,40.60252405807888,2015,5,1055667,158897,1,BURGLARY
-73.77107682,40.59595512156218,2015,5,1047825,156482,1,FELONY ASSAULT
-73.74856568,40.60037662190732,2015,5,1054072,158110,1,FELONY ASSAULT
-73.74817931,40.60829454569828,2015,5,1054171,160995,1,FELONY ASSAULT
-73.74619883,40.59778306422533,2015,5,1054732,157167,1,GRAND LARCENY
-73.75781584,40.59867549281116,2015,5,1051505,157483,1,GRAND LARCENY
-73.75156675,40.59904368200098,2015,5,1053240,157622,1,GRAND LARCENY OF MOTOR VEHICLE
-73.84194175,40.69011092,2015,5,1028083,190742,1,BURGLARY
-73.84545622,40.68911659314826,2015,5,1027109,190378,1,BURGLARY
-73.83024759,40.69866893417088,2015,5,1031320,193866,1,BURGLARY
-73.82778857,40.709630637899465,2015,5,1031994,197861,1,FELONY ASSAULT
-73.83247758,40.68955955388268,2015,5,1030708,190546,1,GRAND LARCENY
-73.82091137,40.703771039922565,2015,5,1033905,195730,1,GRAND LARCENY
-73.85238852,40.68340832776176,2015,5,1025190,188295,1,GRAND LARCENY
-73.85350575,40.69184170266072,2015,5,1024875,191367,1,GRAND LARCENY
-73.82910739,40.69045213992113,2015,5,1031642,190873,1,GRAND LARCENY OF MOTOR VEHICLE
-73.80950159,40.70191372493684,2015,5,1037070,195060,1,BURGLARY
